dataset,embedding,clf,coverage,negative_protocol,test_pos_cosine_mean,test_neg_cosine_mean,test_cosine_delta,test_pos_l2_mean,test_neg_l2_mean,test_l2_delta,auroc,auprc,random_auprc_baseline,test_positive_ratio,test_negative_to_positive_ratio,auprc_lift,auprc_gain,precision_at_k,recall_at_k,f1,specificity,delta_auprc_vs_baseline,lift_ratio_vs_baseline,delta_precision_at_k_vs_baseline,delta_recall_at_k_vs_baseline
mHSC-L_Non-Specific_1000,baseline,mlp,898/1000,tf_stratified_1to10,0.0836746171116828,0.0182967409491539,0.0653778761625289,0.8666595220565796,0.8918383717536926,0.025178849697113,0.7174130395867988,0.2765367143451273,0.0927272727272727,0.0927272727272727,9.784313725490197,2.9822586841141185,0.1838094416178545,0.3071895424836601,0.3071895424836601,0.1363636363636363,0.9926519706078824,0.0,1.0,0.0,0.0
mHSC-L_Non-Specific_1000,scGPT_human,lr,898/1000,tf_stratified_1to10,0.0770670771598815,0.0133314728736877,0.0637356042861938,2.117140054702759,2.190557718276977,0.0734176635742187,0.7012194323287098,0.2380541629723342,0.0927272727272727,0.0927272727272727,9.784313725490197,2.5672507771526245,0.1453268902450615,0.2875816993464052,0.2875816993464052,0.3064066852367688,0.8991315965263861,-0.036125165361667794,0.8682425637951066,-0.0326797385620915,-0.0326797385620915
mHSC-L_Non-Specific_1000,scGPT_human,mlp,898/1000,tf_stratified_1to10,0.0770670771598815,0.0133314728736877,0.0637356042861938,2.117140054702759,2.190557718276977,0.0734176635742187,0.7839120506808824,0.4415520778325434,0.0927272727272727,0.0927272727272727,9.784313725490197,4.761836133488215,0.3488248051052707,0.4183006535947712,0.4183006535947712,0.3689320388349514,0.9899799599198396,0.16501536348741613,1.5967213571557495,0.1111111111111111,0.1111111111111111
mHSC-L_Non-Specific_1000,v4_bias_rec_best,lr,898/1000,tf_stratified_1to10,0.087150365114212,0.0133596658706665,0.0737906992435455,1.5532302856445312,1.606823205947876,0.0535929203033447,0.7217485079090644,0.2560706491840128,0.0927272727272727,0.0927272727272727,9.784313725490197,2.7615462166903346,0.1633433764567401,0.2810457516339869,0.2810457516339869,0.2651515151515151,0.9492317969271876,-0.018108679149989204,0.9339531566437808,-0.03921568627450983,-0.03921568627450983
mHSC-L_Non-Specific_1000,v4_bias_rec_best,mlp,898/1000,tf_stratified_1to10,0.087150365114212,0.0133596658706665,0.0737906992435455,1.5532302856445312,1.606823205947876,0.0535929203033447,0.7375535384494479,0.3463490268872546,0.0927272727272727,0.0927272727272727,9.784313725490197,3.7351365644703938,0.2536217541599819,0.3529411764705882,0.3529411764705882,0.2580645161290322,0.9939879759519038,0.06981231254212733,1.2524522384214023,0.04575163398692811,0.04575163398692811
mHSC-L_Non-Specific_1000,v4_plain_best,lr,898/1000,tf_stratified_1to10,0.0875632315874099,0.0140485391020774,0.0735146924853324,1.5520920753479004,1.611802101135254,0.0597100257873535,0.7035683567570872,0.256375479754672,0.0927272727272727,0.0927272727272727,9.784313725490197,2.764833605197444,0.1636482070273993,0.3137254901960784,0.3137254901960784,0.3032490974729241,0.9452237808951236,-0.017803848579329984,0.9350649493252768,-0.006535947712418277,-0.006535947712418277
mHSC-L_Non-Specific_1000,v4_plain_best,mlp,898/1000,tf_stratified_1to10,0.0875632315874099,0.0140485391020774,0.0735146924853324,1.5520920753479004,1.611802101135254,0.0597100257873535,0.6974515479761265,0.2808655887325048,0.0927272727272727,0.0927272727272727,9.784313725490197,3.0289426235858365,0.1881383160052321,0.2941176470588235,0.2941176470588235,0.160919540229885,0.9953239812959253,0.0043288743873775015,1.0156538866733438,-0.01307189542483661,-0.01307189542483661
mHSC-L_Non-Specific_1000,v4_type_pe_best,lr,898/1000,tf_stratified_1to10,0.0869600251317024,0.015497007407248,0.0714630177244544,1.557922601699829,1.616763472557068,0.0588408708572387,0.7353661571509031,0.2929232037898501,0.0927272727272727,0.0927272727272727,9.784313725490197,3.1589757271454433,0.2001959310625774,0.3137254901960784,0.3137254901960784,0.308300395256917,0.959251837007348,0.018743875455848102,1.0683635617963676,-0.006535947712418277,-0.006535947712418277
mHSC-L_Non-Specific_1000,v4_type_pe_best,mlp,898/1000,tf_stratified_1to10,0.0869600251317024,0.015497007407248,0.0714630177244544,1.557922601699829,1.616763472557068,0.0588408708572387,0.761191227771447,0.3460516663871818,0.0927272727272727,0.0927272727272727,9.784313725490197,3.7319297355480403,0.2533243936599091,0.3464052287581699,0.3464052287581699,0.2926829268292683,0.9853039412157648,0.06951495204205455,1.25137693635608,0.03921568627450983,0.03921568627450983
mHSC-L_Non-Specific_1000,scconcept,lr,898/1000,tf_stratified_1to10,0.0184933934360742,0.0043954961001873,0.0140978973358869,30.979923248291016,31.09638023376465,0.1164569854736328,0.6642085914748888,0.1744329100745675,0.0927272727272727,0.0927272727272727,9.784313725490197,1.8811392262943558,0.0817056373472948,0.2091503267973856,0.2091503267973856,0.2210242587601078,0.8817635270541082,-0.0997464182594345,0.6362000780090736,-0.1111111111111111,-0.1111111111111111
mHSC-L_Non-Specific_1000,scconcept,mlp,898/1000,tf_stratified_1to10,0.0184933934360742,0.0043954961001873,0.0140978973358869,30.979923248291016,31.09638023376465,0.1164569854736328,0.6429154605507311,0.2318462638039884,0.0927272727272727,0.0927272727272727,9.784313725490197,2.5003028449449736,0.1391189910767157,0.2483660130718954,0.2483660130718954,0.108433734939759,0.9973279893119572,-0.044690450541138876,0.8383923427781684,-0.05882352941176469,-0.05882352941176469
mHSC-L_Non-Specific_1000,scconcept_encoded,lr,898/1000,tf_stratified_1to10,0.1442344933748245,0.0990762859582901,0.0451582074165344,25.81723594665528,26.70580291748047,0.8885669708251953,0.6771102117088207,0.1737134036023624,0.0927272727272727,0.0927272727272727,9.784313725490197,1.8733798427705755,0.0809861308750897,0.2156862745098039,0.2156862745098039,0.2236024844720497,0.9111556446225784,-0.1004659247316396,0.6335758594854635,-0.1045751633986928,-0.1045751633986928
mHSC-L_Non-Specific_1000,scconcept_encoded,mlp,898/1000,tf_stratified_1to10,0.1442344933748245,0.0990762859582901,0.0451582074165344,25.81723594665528,26.70580291748047,0.8885669708251953,0.7121083124855375,0.2281694101547973,0.0927272727272727,0.0927272727272727,9.784313725490197,2.4606505016693836,0.1354421374275246,0.2352941176470588,0.2352941176470588,0.1818181818181818,0.9819639278557114,-0.048367304190329974,0.8250962650479534,-0.0718954248366013,-0.0718954248366013
mHSC-L_Non-Specific_1000,cl_scratch_v5,lr,898/1000,tf_stratified_1to10,0.0888311341404914,0.010892772115767,0.0779383620247244,1.5480777025222778,1.6176263093948364,0.0695486068725586,0.7120035277526732,0.230299238071872,0.0927272727272727,0.0927272727272727,9.784313725490197,2.4836192341084242,0.1375719653445993,0.2679738562091503,0.2679738562091503,0.25,0.9525718102872412,-0.043880090262129995,0.8399584296571192,-0.052287581699346386,-0.052287581699346386
mHSC-L_Non-Specific_1000,cl_scratch_v5,mlp,898/1000,tf_stratified_1to10,0.0888311341404914,0.010892772115767,0.0779383620247244,1.5480777025222778,1.6176263093948364,0.0695486068725586,0.7762976934260678,0.3779760399144306,0.0927272727272727,0.0927272727272727,9.784313725490197,4.076212195155625,0.2852487671871578,0.3660130718954248,0.3660130718954248,0.267379679144385,0.9939879759519038,0.1014393255693033,1.3668204629158338,0.05882352941176472,0.05882352941176472
mHSC-L_Non-Specific_1000,minus,lr,898/1000,full_candidate,0.0900762230157852,0.0224618576467037,0.0676143653690815,0.7899052500724792,0.7896990180015564,-0.0002062320709228,0.8207555073536585,0.1662665470638007,0.0132547864506627,0.0132547864506627,74.44444444444444,12.543887272924557,0.1530117606131379,0.2287581699346405,0.2287581699346405,0.1770833333333333,0.9980684811237928,0.012742115347492894,1.0829973132291972,0.013071895424836583,0.013071895424836583
mHSC-L_Non-Specific_1000,minus,mlp,898/1000,full_candidate,0.0900762230157852,0.0224618576467037,0.0676143653690815,0.7899052500724792,0.7896990180015564,-0.0002062320709228,0.8286261885497542,0.2474975543337913,0.0132547864506627,0.0132547864506627,74.44444444444444,18.672315488071646,0.2342427678831285,0.2810457516339869,0.2810457516339869,0.2365591397849462,0.9990342405618964,0.04948678477962071,1.2499196629104683,0.03267973856209147,0.03267973856209147
