dataset,context,embedding,method,fold_id,pearson_r,mse,sign_acc,n_train,n_test
dixit,dataset::all,scconcept_encoded,frozen_linear,6,-0.5765883922576904,1.5501600503921509,0.23046875,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,7,0.9863277077674866,0.3903995752334595,0.99609375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,8,0.9790915250778198,0.2353889793157577,1.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,9,0.985889732837677,0.0674227327108383,1.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,10,0.953899621963501,0.3793518245220184,0.99609375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,11,0.9773850440979004,0.2254182994365692,1.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,12,0.788524866104126,0.7052778005599976,0.90234375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,13,0.8963725566864014,0.6993069648742676,0.96484375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,14,-0.9565757513046264,2.14534854888916,0.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,15,-0.9658756256103516,2.080202102661133,0.0,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,16,0.9726887941360474,0.0532549731433391,0.99609375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,17,0.8848705887794495,0.5984327793121338,0.984375,18,1
dixit,dataset::all,scconcept_encoded,frozen_linear,18,0.5162219405174255,0.8387613296508789,0.74609375,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,0,0.9780657291412354,0.2639864683151245,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,1,-0.8489673733711243,1.6242784261703491,0.0390625,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,2,0.9716742634773254,0.7485362887382507,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,3,0.973308801651001,0.2057985514402389,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,4,0.991252303123474,0.4230597019195556,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,5,-0.9876000881195068,2.747034072875977,0.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,6,0.930540144443512,0.5017704963684082,0.99609375,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,7,0.9126806259155272,0.9709550142288208,0.9921875,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,8,0.9892324209213256,0.4950710535049438,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,9,-0.9879862070083618,2.486187219619751,0.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,10,-0.9797653555870056,1.930761814117432,0.00390625,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,11,0.9904807806015016,0.0191973913460969,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,12,0.9872255325317384,0.237407699227333,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,13,0.9935674667358398,0.0214728321880102,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,14,-0.4970881342887878,1.0369923114776611,0.21875,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,15,0.9736976623535156,0.0481210686266422,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,16,0.9765726923942566,0.1857289969921112,1.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,17,-0.9817177057266236,3.644309043884277,0.0,18,1
dixit,dataset::all,cl_scratch_v5,frozen_linear,18,0.988030195236206,0.0285292863845825,1.0,18,1
norman,dataset::all,minus,frozen_linear,0,0.0218769089318811,1.6971700191497805,0.5224609375,80,20
norman,dataset::all,minus,frozen_linear,1,0.112198463641107,2.4211630821228027,0.548046875,80,20
norman,dataset::all,minus,frozen_linear,2,0.0648628863506019,1.6896264553070068,0.53359375,80,20
norman,dataset::all,minus,frozen_linear,3,0.0351625254377722,1.5537402629852295,0.502734375,80,20
norman,dataset::all,minus,frozen_linear,4,-0.0022044173441827,1.54244065284729,0.4904296875,80,20
norman,dataset::all,minus,frozen_mlp,0,-0.0490244322456419,1.4888887405395508,0.4794921875,80,20
norman,dataset::all,minus,frozen_mlp,1,0.0406422866508364,2.3369171619415283,0.5203125,80,20
norman,dataset::all,minus,frozen_mlp,2,-0.0059171689674258,1.5530153512954712,0.509765625,80,20
norman,dataset::all,minus,frozen_mlp,3,-0.0073175286408513,1.2348164319992063,0.4779296875,80,20
norman,dataset::all,minus,frozen_mlp,4,0.0602906964719295,1.1068532466888428,0.523046875,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,0,-0.0094805836677551,1.1905717849731443,0.5052734375,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,1,0.0867785986512899,2.0752856731414795,0.54375,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,2,0.0902190527878701,1.2060626745224,0.54296875,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,3,0.0128624624572694,1.0540449619293213,0.4986328125,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,4,-0.0179481584578752,1.0447828769683838,0.4908203125,80,20
norman,dataset::all,baseline,frozen_linear,0,0.0086460345424711,1.6935720443725586,0.4916015625,80,20
norman,dataset::all,baseline,frozen_linear,1,0.14980093780905,2.2310357093811035,0.5546875,80,20
norman,dataset::all,baseline,frozen_linear,2,0.0976185072213411,1.625383734703064,0.5396484375,80,20
norman,dataset::all,baseline,frozen_linear,3,0.0196794975548982,1.3013484477996826,0.50546875,80,20
norman,dataset::all,baseline,frozen_linear,4,0.2188112590461969,1.1418319940567017,0.584375,80,20
norman,dataset::all,baseline,frozen_mlp,0,0.0568908135406672,1.4293240308761597,0.5140625,80,20
norman,dataset::all,baseline,frozen_mlp,1,0.094255342381075,2.1280112266540527,0.53671875,80,20
norman,dataset::all,baseline,frozen_mlp,2,0.1037027382291853,1.4418383836746216,0.5435546875,80,20
norman,dataset::all,baseline,frozen_mlp,3,0.0434032895136624,1.149741768836975,0.5162109375,80,20
norman,dataset::all,baseline,frozen_mlp,4,0.182192607037723,1.005650281906128,0.5783203125,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,0,0.0111774029210209,1.2389129400253296,0.4904296875,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,1,0.1820469360798597,1.9062271118164065,0.567578125,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,2,0.173606274370104,1.157630443572998,0.569140625,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,3,0.0006969720590859,0.9353234171867372,0.4947265625,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,4,0.2571563512086868,0.799724280834198,0.606640625,80,20
norman,dataset::all,scGPT_human,frozen_linear,0,0.0884733818471431,1.2188829183578491,0.546875,80,20
norman,dataset::all,scGPT_human,frozen_linear,1,0.0271504446864128,2.123565196990967,0.51015625,80,20
norman,dataset::all,scGPT_human,frozen_linear,2,0.1254344342276453,1.2400386333465576,0.5474609375,80,20
norman,dataset::all,scGPT_human,frozen_linear,3,0.041937099257484,0.9451522827148438,0.516796875,80,20
norman,dataset::all,scGPT_human,frozen_linear,4,0.2045636340975761,0.7962900400161743,0.5736328125,80,20
norman,dataset::all,scGPT_human,frozen_mlp,0,0.0579019560012966,1.422266125679016,0.5197265625,80,20
norman,dataset::all,scGPT_human,frozen_mlp,1,0.0192348157986998,2.312079668045044,0.513671875,80,20
norman,dataset::all,scGPT_human,frozen_mlp,2,0.0705667478963732,1.372497797012329,0.534765625,80,20
norman,dataset::all,scGPT_human,frozen_mlp,3,-0.0387295501306653,1.1338844299316406,0.4796875,80,20
norman,dataset::all,scGPT_human,frozen_mlp,4,0.1565832156687975,0.9392903447151184,0.5638671875,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,0,0.0563408761285245,1.0866707563400269,0.5205078125,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,1,0.0129897123202681,2.022921085357666,0.50078125,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,2,0.1108100330457091,1.1873327493667605,0.53671875,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,3,0.0638375980779528,0.8715432286262512,0.526171875,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,4,0.1286289781332016,0.7593369483947754,0.53671875,80,20
norman,dataset::all,v4_bias_rec_best,frozen_linear,0,-0.006185642350465,1.975419282913208,0.4994140625,80,20
norman,dataset::all,v4_bias_rec_best,frozen_linear,1,0.0330370399169623,2.715331554412842,0.5072265625,80,20
norman,dataset::all,v4_bias_rec_best,frozen_linear,2,0.030186516419053,1.872552514076233,0.5162109375,80,20
norman,dataset::all,v4_bias_rec_best,frozen_linear,3,0.137316352315247,1.801425576210022,0.558984375,80,20
norman,dataset::all,v4_bias_rec_best,frozen_linear,4,0.0824732119217515,1.6135174036026,0.5416015625,80,20
norman,dataset::all,v4_bias_rec_best,frozen_mlp,0,0.0226567801088094,1.5371592044830322,0.50859375,80,20
norman,dataset::all,v4_bias_rec_best,frozen_mlp,1,0.0697790172882378,2.5072386264801025,0.5265625,80,20
norman,dataset::all,v4_bias_rec_best,frozen_mlp,2,0.1051162192597985,1.4788413047790527,0.5453125,80,20
