task,source_file,setting,embedding,baseline,primary_metric,secondary_metric,primary_value,primary_baseline,primary_delta,secondary_value,secondary_baseline,secondary_delta,failure_type
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=hHep;protocol=coverage_matched;clf=lr;n=5,scGPT_human,baseline,mean_auroc,mean_auprc,0.6839062,0.632992,0.05091420000000002,0.6488244,0.7532478,-0.10442340000000006,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mESC;test_dataset=mHSC-L;protocol=topology_matched;clf=mlp;n=5,scconcept_encoded,baseline,mean_auroc,mean_auprc,0.5071626,0.4466666,0.060495999999999994,0.2848002,0.3881476,-0.10334739999999998,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mDC;test_dataset=hESC;protocol=coverage_matched;clf=mlp;n=5,scconcept,baseline,mean_auroc,mean_auprc,0.45167019999999997,0.374968,0.07670219999999994,0.3508968,0.4536868,-0.10278999999999999,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=coverage_matched;clf=mlp;n=5,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.7137990000000001,0.712403,0.0013960000000000639,0.6698658,0.7717456,-0.10187980000000008,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=topology_matched;clf=lr;n=5,cl_scratch_v5,baseline,mean_auroc,mean_auprc,0.8372868,0.8340526,0.003234199999999965,0.768672,0.8680584,-0.09938639999999999,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mDC;test_dataset=mHSC-L;protocol=coverage_matched;clf=lr;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.4401084,0.4186412,0.02146720000000002,0.4658878,0.5635756,-0.09768779999999994,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-L;test_dataset=hESC;protocol=coverage_matched;clf=lr;n=5,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.632619,0.5780938,0.05452520000000005,0.5105624,0.6064474,-0.095885,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=coverage_matched;clf=mlp;n=5,cl_scratch_v5,baseline,mean_auroc,mean_auprc,0.4734772,0.4577372,0.015739999999999976,0.4687326,0.5614106,-0.09267799999999998,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-E;protocol=coverage_matched;clf=mlp;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.7772106,0.712403,0.06480759999999997,0.6824386,0.7717456,-0.08930700000000003,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_seed_results_v2.csv,train_dataset=hHep;test_dataset=mHSC-GM;direction=hHep->mHSC-GM;protocol=strict;clf=lr;seed=3;n_common_genes=2794;retained_fraction=0.5867282654346913;n_train_edges=653;n_test_edges=323;oov_train_count=45;oov_test_count=46;oov_train_rate=0.0161059413027916;oov_test_rate=0.0164638511095204;oov_policy=mean_embedding,scconcept_encoded,baseline,auroc,auprc,0.73065,0.673345,0.05730500000000005,0.355309,0.443069,-0.08776,AUROC improves but AUPRC drops
