dataset,negative_protocol,embedding,clf,test_positive_ratio,test_n_positive,test_negative_to_positive_ratio,auprc,random_auprc_baseline,auprc_lift_over_random,flags,source_file
mHSC-GM_STRING_1000,full_candidate,cl_scratch_v5,lr,0.0098091399893544,129.0,100.94573643410853,0.3597975748952137,0.0098091399893544,36.67982873989896,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,cl_scratch_v5,mlp,0.0098091399893544,129.0,100.94573643410853,0.4310740401078052,0.0098091399893544,43.946160476416736,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,cl_v6_fair,lr,0.009809139989354421,129.0,100.94573643410853,0.34477404344204654,0.009809139989354421,35.148243762064766,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-GM_STRING_1000,full_candidate,cl_v6_fair,mlp,0.009809139989354421,129.0,100.94573643410853,0.3629924890578792,0.009809139989354421,37.005536617055576,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,minus,lr,0.0110616946059984,97.0,89.4020618556701,0.1182591623810067,0.0110616946059984,10.690872112567506,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,minus,mlp,0.0110616946059984,97.0,89.4020618556701,0.1710335778973474,0.0110616946059984,15.461788088472577,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,baseline,lr,0.0110616946059984,97.0,89.4020618556701,0.1231206911162332,0.0110616946059984,11.13036433400257,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,baseline,mlp,0.0110616946059984,97.0,89.4020618556701,0.1079215966504152,0.0110616946059984,9.756334855953519,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,scGPT_human,lr,0.0110616946059984,97.0,89.4020618556701,0.1345743102417952,0.0110616946059984,12.165795118662913,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,scGPT_human,mlp,0.0110616946059984,97.0,89.4020618556701,0.281149373360957,0.0110616946059984,25.416483041260133,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,v4_bias_rec_best,lr,0.0110616946059984,97.0,89.4020618556701,0.1049175703884307,0.0110616946059984,9.484764688001539,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,v4_bias_rec_best,mlp,0.0110616946059984,97.0,89.4020618556701,0.0991136686565761,0.0110616946059984,8.960080004634188,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,v4_plain_best,lr,0.0110616946059984,97.0,89.4020618556701,0.1008902440735938,0.0110616946059984,9.120686085374684,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,v4_plain_best,mlp,0.0110616946059984,97.0,89.4020618556701,0.1434781001334517,0.0110616946059984,12.970716083198333,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,v4_type_pe_best,lr,0.0110616946059984,97.0,89.4020618556701,0.1314681844283385,0.0110616946059984,11.884994940743306,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,v4_type_pe_best,mlp,0.0110616946059984,97.0,89.4020618556701,0.1581557659655676,0.0110616946059984,14.297607337650133,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,scconcept,lr,0.0110616946059984,97.0,89.4020618556701,0.0887867685747597,0.0110616946059984,8.026506944660495,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,scconcept,mlp,0.0110616946059984,97.0,89.4020618556701,0.058352572514672,0.0110616946059984,5.275192869908855,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,scconcept_encoded,lr,0.0110616946059984,97.0,89.4020618556701,0.0617885326749111,0.0110616946059984,5.585810752848409,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,scconcept_encoded,mlp,0.0110616946059984,97.0,89.4020618556701,0.0672151875928962,0.0110616946059984,6.076391546413475,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,cl_scratch_v5,lr,0.0110616946059984,97.0,89.4020618556701,0.1552483548406734,0.0110616946059984,14.034771377297583,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,cl_scratch_v5,mlp,0.0110616946059984,97.0,89.4020618556701,0.1733240865687448,0.0110616946059984,15.668854795065192,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,cl_v6_fair,lr,0.011061694605998403,97.0,89.4020618556701,0.1491185247625397,0.011061694605998403,13.48062209940939,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hHep_Non-Specific_1000,full_candidate,cl_v6_fair,mlp,0.011061694605998403,97.0,89.4020618556701,0.10325061803241643,0.011061694605998403,9.334068758002678,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,minus,lr,0.0115232265034209,32.0,85.78125,0.3032259088137757,0.0115232265034209,26.314323399245605,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,minus,mlp,0.0115232265034209,32.0,85.78125,0.036670048395741,0.0115232265034209,3.1822726373429147,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,baseline,lr,0.0115232265034209,32.0,85.78125,0.2494636417764885,0.0115232265034209,21.648766662916003,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,baseline,mlp,0.0115232265034209,32.0,85.78125,0.0906123201003641,0.0115232265034209,7.863450403709762,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
hESC_STRING_500,full_candidate,scGPT_human,lr,0.0115232265034209,32.0,85.78125,0.3449834748554153,0.0115232265034209,29.93809717729666,low_positive_ratio;few_test_positives;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
