train_dataset,test_dataset,direction,protocol,embedding,clf,seed,n_common_genes,retained_fraction,n_train_edges,n_test_edges,oov_train_count,oov_test_count,oov_train_rate,oov_test_rate,oov_policy,auroc,auprc,f1,balanced_accuracy,precision_at_k,recall_at_k,calibration_brier
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,lr,0,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.561827,0.533823,0.426396,0.535219,0.565,0.312155,0.42969
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,lr,1,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.558104,0.531872,0.415945,0.537714,0.55,0.303867,0.430674
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,lr,2,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.541939,0.532288,0.409639,0.529594,0.55,0.303867,0.432184
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,lr,3,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.585334,0.562235,0.46281,0.554556,0.575,0.31768,0.411022
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,lr,4,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.54797,0.535736,0.40747,0.521541,0.545,0.301105,0.438795
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,mlp,0,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.494877,0.495575,0.350746,0.522018,0.52,0.287293,0.444495
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,mlp,1,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.497911,0.497087,0.335849,0.516459,0.54,0.298343,0.444476
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,mlp,2,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.511344,0.497423,0.332717,0.504363,0.5,0.276243,0.443932
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,mlp,3,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.497532,0.504607,0.355388,0.531452,0.545,0.301105,0.429437
hESC,hHep,hESC->hHep,strict,v4_bias_rec_best,mlp,4,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.513995,0.504342,0.369449,0.512919,0.515,0.28453,0.430621
hESC,hHep,hESC->hHep,strict,v4_plain_best,lr,0,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.538946,0.553228,0.459547,0.542494,0.56,0.309392,0.411456
hESC,hHep,hESC->hHep,strict,v4_plain_best,lr,1,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.542505,0.550346,0.423932,0.537848,0.58,0.320442,0.415824
hESC,hHep,hESC->hHep,strict,v4_plain_best,lr,2,8314,0.7220147633521494,3207,733,513,513,0.0617031513110416,0.0617031513110416,mean_embedding,0.568238,0.569961,0.464957,0.570595,0.63,0.348066,0.390936
