dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-E500->mHSC-GM500,scconcept_encoded,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.5796529968454258,0.6581032141729802
mHSC-E500->mHSC-GM500,scconcept_encoded,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.5707255520504733,0.6994969146874952
mHSC-E500->mHSC-GM500,cl_scratch_v5,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.5950473186119873,0.6825533949057245
mHSC-E500->mHSC-GM500,cl_scratch_v5,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6668769716088329,0.7802578559380953
mHSC-E500->mHSC-L500,minus,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5925438727615175,0.6722180096950743
mHSC-E500->mHSC-L500,minus,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.627183672655884,0.7386706536788534
mHSC-E500->mHSC-L500,baseline,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5783232184320408,0.6557474632447104
mHSC-E500->mHSC-L500,baseline,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6812759723758558,0.7789896565072654
mHSC-E500->mHSC-L500,scGPT_human,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.6532332805166073,0.7382077911439779
mHSC-E500->mHSC-L500,scGPT_human,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6882816626306716,0.7841153603084456
mHSC-E500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5672018097202707,0.6604883296209386
mHSC-E500->mHSC-L500,v4_bias_rec_best,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6477423341006707,0.7613236678441786
mHSC-E500->mHSC-L500,v4_plain_best,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.6103022511883762,0.6827222939394899
mHSC-E500->mHSC-L500,v4_plain_best,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6490777003796825,0.76698606733876
mHSC-E500->mHSC-L500,v4_type_pe_best,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.6078308270302051,0.6764131453530466
mHSC-E500->mHSC-L500,v4_type_pe_best,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6867569533717999,0.7852796377543939
mHSC-E500->mHSC-L500,scconcept,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5845117442474612,0.6824987899988073
