gene,mse,mae,dataset,embedding,model,split_mode,prompt_ratio,seed
RP11-16L14.2,0.018589207902550697,0.06152094900608063,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CIBAR1P1,0.0021301372908055782,0.034404218196868896,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CTD-2619J13.9,0.09628961235284805,0.11575829982757568,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP11-717A5.3,0.0033355255145579576,0.03471512719988823,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CTD-2027I19.3,0.0017337255412712693,0.031145839020609856,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP11-42H13.1,0.0014572653453797102,0.02829003892838955,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
ERICH6,0.0016845391364768147,0.03216315433382988,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
WASHC4,0.00112998450640589,0.02552180550992489,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP1-269M15.3,0.0010914360173046589,0.025180216878652573,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RNU6-1153P,0.001563806552439928,0.027969520539045334,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
CWF19L2,0.0017867486458271742,0.03267580643296242,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
RP11-24J19.1,0.0016262347344309092,0.030815627425909042,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
GAPDHP28,0.001705600181594491,0.03045613132417202,test_data,v4_bias_rec_best,ridge_pair,cell_holdout,0.1,0
